name,id,institution,longitude,latitude,keywords
UEN.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=xe-0/1/2:link=*,Internet2,,,
obs-salt.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=xe-0/0/0:link=obs,Internet2,,,
ProtoGENI.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=ge-7/1/2:link=*,Internet2,,,
Shadownet.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=ge-7/1/2:link=*,Internet2,,,internet2 ion protogeni
glif.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=ge-7/0/4:link=*,Internet2,,,Internet2 GLIF
phoebus01.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=ge-7/0/4:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus00.salt.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.salt:port=ge-7/0/3:link=phoebus,Internet2,,,Internet2 Phoebus
CalREN.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-0/1/1:link=*,Internet2,,,
Oregon.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-0/0/2:link=*,Internet2,,,
obs-losa.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-1/0/3:link=obs,Internet2,,,
jgn2.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-1/0/0:link=jgn2,Internet2,,,
caltech.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-0/1/1:link=caltech,Internet2,,,
PACWAVE.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=xe-1/0/1:link=*,Internet2,,,Internet2,  pacwave,  JGN2
phoebus00.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=ge-7/0/6:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus01.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=ge-7/0/7:link=phoebus,Internet2,,,Internet2 Phoebus
openflow.losa.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.losa:port=ge-7/0/3:link=openflow,Internet2,,,Internet2 Openflow
cerngole.uslhcnet.org,urn:ogf:network:domain=uslhcnet.org:node=vlsr4:port=0-0-0:link=cern,USLHCnet,,,
nlgole.uslhcnet.org,urn:ogf:network:domain=uslhcnet.org:node=vlsr10:port=0-1-0:link=sara,USLHCnet,,,
fdt.dynes.caltech.edu,urn:ogf:network:domain=caltech.edu:node=vlsr7:port=1-1-2:link=fdtdynes,USLHCnet,,,
perfsonar.autogole.caltech.edu,urn:ogf:network:domain=caltech.edu:node=vlsr1:port=0-9-7:link=pfsgole,USLHCnet,,,
KyRON.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=xe-0/1/1:link=*,Internet2,,,
Indiana.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=xe-0/0/1:link=*,Internet2,,,
MCNC.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=xe-0/1/2:link=*,Internet2,,,
obs-atla.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=xe-1/0/2:link=obs,Internet2,,,
openflow.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=ge-7/0/4:link=openflow,Internet2,,,Internet2 Openflow
